id,Latitude,Longitude,ReplacementCost,PlanArea,YearBuilt,NumberOfStories,OccupancyClass,StructureType,Footprint
53,37.87540714,-122.2767572,255900,1279.5,1926,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276748,37.875309],[-122.276748,37.875353],[-122.276706,37.875353],[-122.276706,37.875489],[-122.276802,37.875489],[-122.276802,37.875309],[-122.276748,37.875309]]]},""properties"":{}}"
54,37.8758891,-122.2694721,1984900,9924.5,1941,3,RES3,S2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.269523,37.875714],[-122.269337,37.875735],[-122.269393,37.876045],[-122.269682,37.876013],[-122.269673,37.875962],[-122.269570,37.875973],[-122.269523,37.875714]]]},""properties"":{}}"
55,37.87767865,-122.2762562,368618.9833,2132.166667,1923,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276306,37.877610],[-122.276201,37.877612],[-122.276207,37.877748],[-122.276311,37.877745],[-122.276306,37.877610]]]},""properties"":{}}"
56,37.8779593,-122.2716588,618400,3092,1921,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.271754,37.877975],[-122.271736,37.877913],[-122.271564,37.877943],[-122.271582,37.878006],[-122.271754,37.877975]]]},""properties"":{}}"
57,37.878039,-122.270912,766600,3833,1918,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.270822,37.878119],[-122.271023,37.878101],[-122.271002,37.877959],[-122.270801,37.877977],[-122.270822,37.878119]]]},""properties"":{}}"
58,37.87859603,-122.2758053,216000,1080,1914,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.275697,37.878569],[-122.275707,37.878642],[-122.275914,37.878623],[-122.275903,37.878550],[-122.275697,37.878569]]]},""properties"":{}}"
59,37.8795084,-122.2767272,146800,734,1926,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276781,37.879438],[-122.276668,37.879441],[-122.276674,37.879579],[-122.276786,37.879576],[-122.276781,37.879438]]]},""properties"":{}}"
60,37.87552079,-122.2605319,12250858.56,63089.2,1919,1,COM1,RM2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.260409,37.875930],[-122.260778,37.875896],[-122.260748,37.875691],[-122.260738,37.875692],[-122.260652,37.875108],[-122.260292,37.875141],[-122.260409,37.875930]]]},""properties"":{}}"
61,37.87708623,-122.2613667,563294,3752.6,1944,1,EDU1,C3,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.261224,37.877032],[-122.261243,37.877164],[-122.261509,37.877141],[-122.261490,37.877008],[-122.261224,37.877032]]]},""properties"":{}}"
62,37.87818276,-122.2659603,1213000,6065,1931,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.265830,37.878139],[-122.265836,37.878236],[-122.266091,37.878226],[-122.266085,37.878130],[-122.265830,37.878139]]]},""properties"":{}}"
63,37.87823018,-122.2623898,275800,1379,1938,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.262310,37.878140],[-122.262348,37.878345],[-122.262437,37.878335],[-122.262430,37.878295],[-122.262470,37.878291],[-122.262439,37.878125],[-122.262310,37.878140]]]},""properties"":{}}"
64,37.87959215,-122.2617298,610200,3051,1928,1,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.261803,37.879661],[-122.261793,37.879517],[-122.261656,37.879524],[-122.261667,37.879667],[-122.261803,37.879661]]]},""properties"":{}}"
