id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost,Footprint
60,37.88402925,-122.3033193,3,2000,RES3,W2,2576,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303445,37.884061],[-122.303421,37.883949],[-122.303195,37.883979],[-122.303219,37.884091],[-122.303445,37.884061]]]},""properties"":{}}"
61,37.88392624,-122.3036569,3,2000,RES3,W2,6500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303589,37.883714],[-122.303630,37.883867],[-122.303869,37.883826],[-122.303814,37.883624],[-122.303626,37.883656],[-122.303640,37.883705],[-122.303589,37.883714]]]},""properties"":{}}"
62,37.88392979,-122.3039044,3,2000,RES3,W2,2576,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303957,37.883946],[-122.303927,37.883838],[-122.303705,37.883877],[-122.303735,37.883985],[-122.303957,37.883946]]]},""properties"":{}}"
63,37.88385875,-122.3042149,3,2000,RES3,W2,2576,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.304297,37.883870],[-122.304261,37.883761],[-122.304042,37.883805],[-122.304078,37.883915],[-122.304297,37.883870]]]},""properties"":{}}"
64,37.88365628,-122.3040844,3,2000,RES3,W2,6500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.304060,37.883770],[-122.304297,37.883733],[-122.304255,37.883569],[-122.304191,37.883579],[-122.304182,37.883547],[-122.304010,37.883574],[-122.304060,37.883770]]]},""properties"":{}}"
65,37.8834254,-122.3041114,3,2000,RES3,W2,9000,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.304158,37.883464],[-122.304122,37.883311],[-122.303997,37.883330],[-122.304012,37.883391],[-122.303932,37.883404],[-122.303918,37.883345],[-122.303727,37.883374],[-122.303746,37.883452],[-122.303668,37.883464],[-122.303655,37.883412],[-122.303544,37.883429],[-122.303582,37.883587],[-122.303740,37.883564],[-122.303731,37.883528],[-122.303770,37.883522],[-122.303779,37.883559],[-122.303929,37.883536],[-122.303926,37.883521],[-122.303977,37.883513],[-122.303972,37.883492],[-122.304158,37.883464]]]},""properties"":{}}"
66,37.8836918,-122.3046245,3,2000,RES3,W2,7400,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.304528,37.883866],[-122.304894,37.883800],[-122.304841,37.883617],[-122.304475,37.883682],[-122.304528,37.883866]]]},""properties"":{}}"
67,37.88329397,-122.3045615,3,2000,RES3,W2,7400,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.304743,37.883303],[-122.304716,37.883202],[-122.304679,37.883208],[-122.304670,37.883174],[-122.304326,37.883232],[-122.304376,37.883415],[-122.304731,37.883356],[-122.304718,37.883307],[-122.304743,37.883303]]]},""properties"":{}}"
68,37.88325941,-122.3026483,3,2000,RES3,W2,7230,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302733,37.883123],[-122.302749,37.883198],[-122.302681,37.883207],[-122.302672,37.883162],[-122.302562,37.883176],[-122.302595,37.883339],[-122.302762,37.883318],[-122.302760,37.883308],[-122.303005,37.883277],[-122.302994,37.883225],[-122.303013,37.883223],[-122.302993,37.883124],[-122.302931,37.883132],[-122.302924,37.883099],[-122.302733,37.883123]]]},""properties"":{}}"
69,37.88311204,-122.3032482,3,2000,RES3,W2,4900,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303301,37.883011],[-122.303127,37.883042],[-122.303141,37.883091],[-122.303090,37.883100],[-122.303117,37.883193],[-122.303170,37.883183],[-122.303182,37.883225],[-122.303363,37.883193],[-122.303349,37.883143],[-122.303397,37.883134],[-122.303370,37.883041],[-122.303312,37.883052],[-122.303301,37.883011]]]},""properties"":{}}"
70,37.88314738,-122.301373,3,2000,RES3,W2,4200,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301541,37.883045],[-122.301250,37.883091],[-122.301281,37.883209],[-122.301572,37.883162],[-122.301541,37.883045]]]},""properties"":{}}"
71,37.88299239,-122.3014081,3,2000,RES3,W2,3700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301506,37.883012],[-122.301415,37.882732],[-122.301262,37.882763],[-122.301352,37.883043],[-122.301506,37.883012]]]},""properties"":{}}"
72,37.88306158,-122.301899,3,2000,RES3,W2,2500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301805,37.882991],[-122.301832,37.883101],[-122.302059,37.883066],[-122.302032,37.882956],[-122.301805,37.882991]]]},""properties"":{}}"
73,37.88290936,-122.3018359,3,2000,RES3,W2,3700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301694,37.882671],[-122.301783,37.882952],[-122.301934,37.882922],[-122.301845,37.882641],[-122.301694,37.882671]]]},""properties"":{}}"
74,37.88270455,-122.3019586,3,2000,RES3,W2,8100,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302310,37.882788],[-122.302203,37.882803],[-122.302193,37.882760],[-122.302266,37.882750],[-122.302245,37.882658],[-122.302029,37.882688],[-122.302059,37.882817],[-122.302072,37.882815],[-122.302113,37.883000],[-122.302305,37.882973],[-122.302300,37.882950],[-122.302345,37.882944],[-122.302310,37.882788]]]},""properties"":{}}"
75,37.88279312,-122.3026494,3,2000,RES3,W2,8100,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302759,37.882704],[-122.302654,37.882697],[-122.302657,37.882676],[-122.302777,37.882654],[-122.302753,37.882570],[-122.302650,37.882564],[-122.302552,37.882581],[-122.302544,37.882661],[-122.302547,37.882672],[-122.302598,37.882676],[-122.302608,37.882712],[-122.302566,37.882719],[-122.302563,37.882748],[-122.302524,37.882755],[-122.302561,37.882886],[-122.302618,37.882890],[-122.302788,37.882860],[-122.302792,37.882821],[-122.302759,37.882704]]]},""properties"":{}}"
76,37.88255787,-122.3030843,3,2000,RES3,W2,8100,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303022,37.882782],[-122.303191,37.882798],[-122.303207,37.882796],[-122.303213,37.882750],[-122.303255,37.882743],[-122.303220,37.882608],[-122.303107,37.882598],[-122.303097,37.882558],[-122.303142,37.882551],[-122.303128,37.882496],[-122.303087,37.882492],[-122.303082,37.882473],[-122.302923,37.882498],[-122.302913,37.882571],[-122.302925,37.882619],[-122.302982,37.882628],[-122.303022,37.882782]]]},""properties"":{}}"
77,37.88335058,-122.3021407,3,2000,RES3,W2,7404,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302233,37.883270],[-122.302175,37.883280],[-122.302164,37.883244],[-122.301981,37.883278],[-122.302040,37.883478],[-122.302281,37.883434],[-122.302233,37.883270]]]},""properties"":{}}"
78,37.88487901,-122.3031868,3,2000,RES3,W2,2900,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303157,37.884957],[-122.303272,37.884936],[-122.303255,37.884878],[-122.303299,37.884870],[-122.303269,37.884772],[-122.303111,37.884801],[-122.303157,37.884957]]]},""properties"":{}}"
